Student ID,Age,Gender,High School GPA,University - Ranking,University - GPA,Field of Study,Internships Completed,Projects Completed,Certifications,Job Offers,Starting Salary,Current Job Level,Entrepreneurship
S00788,18,Female,3.96,88,3.69,Engineering,2,0,5,1,46900,Senior,No
S01331,23,Male,2.32,97,2.11,Engineering,3,2,1,0,38000,Mid,Yes
S01341,25,Female,2.97,835,3.07,Law,3,7,4,5,96900,Entry,No
S01711,29,Male,3.77,2,3.19,Mathematics,3,5,0,5,25000,Entry,Yes
S02182,24,Male,3.39,875,3.34,Computer Science,3,6,5,1,46200,Entry,No
S02319,27,Female,2.27,764,2.44,Engineering,3,3,4,3,53900,Mid,No
S02409,21,Female,3.32,150,2.17,Engineering,0,2,2,5,39200,Entry,No
S03193,29,Male,2.83,52,2.51,Engineering,4,4,5,1,33300,Mid,No
S03777,28,Female,2.38,361,2.39,Medicine,3,0,1,0,34800,Senior,No
S03967,20,Male,2.08,831,3.64,Computer Science,2,5,4,4,47000,Entry,No
S04273,29,Male,2.22,740,2.47,Business,0,2,5,2,60200,Mid,No
S00087,29,Male,3.95,962,2.15,Arts,0,0,0,3,40600,Senior,No
S00462,20,Female,3.34,17,3.21,Business,1,4,4,4,29900,Senior,No
S01612,24,Female,3.82,572,2.84,Law,0,0,0,4,64000,Mid,Yes
S03964,23,Male,2.2,88,3.46,Engineering,1,5,5,1,58500,Entry,No
S04007,19,Female,3.01,247,3.07,Business,1,8,2,4,48700,Mid,No
S04009,29,Female,2.34,699,2.95,Business,2,4,1,1,50500,Senior,No
S00740,25,Female,2.42,94,3.48,Arts,4,8,0,1,45100,Entry,Yes
S01251,28,Female,2.23,816,3.2,Law,4,4,5,3,49700,Entry,No
S01486,19,Male,3.54,704,2.2,Law,1,1,2,4,54900,Mid,No
S03113,23,Female,2.15,932,3.56,Arts,4,9,3,3,72000,Entry,No
S04006,20,Female,2.55,448,3.43,Law,3,1,1,1,42300,Mid,No
S00638,20,Male,3.79,192,2.57,Business,2,3,1,4,28800,Entry,No
